Paper Title,Authors,Year,Venue,Research Trend Category,Input Method,Modeling/Algorithm,Application,Link
Informing real-time corrections in corrective shared autonomy through expert demonstrations,"Hagenow, Michael; Senft, Emmanuel; Radwin, Robert; Gleicher, Michael; Mutlu, Bilge; Zinn, Michael;",2021,RA-L,minimizing input,Direct Control Interfaces,Optimization; Planning,Industrial Robotics,https://arxiv.org/pdf/2107.04836
Uncertainty-aware haptic shared control with humanoid robots for flexible object manipulation,"Hara, Takumi; Sato, Takashi; Ogata, Tetsuya; Awano, Hiromitsu;",2023,RA-L,improving input quality,Haptic,Deep Learning,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10224318
Shared autonomy for teleoperated driving: A real-time interactive path planning approach,"Schitz, Dmitrij; Bao, Shuai; Rieth, Dominik; Aschemann, Harald;",2021,ICRA,minimizing time,Direct Control Interfaces,Optimization; Planning,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/9561918/
Dimension-specific shared autonomy for handling disagreement in telemanipulation,"Bowman, Michael; Zhang, Xiaoli;",2023,RA-L,improving input quality,Gesture/Hand Tracking,Intent/Goal Inference; Input Blending; Input Blending,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10025373
Situational confidence assistance for lifelong shared autonomy,"Zurek, Matthew; Bobu, Andreea; Brown, Daniel S; Dragan, Anca D;",2021,ICRA,improving input quality,Direct Control Interfaces,Probabilistic Modelling; Input Blending; Input Blending,General Manipulation,https://clear.csail.mit.edu/pdf/CASA/zurek2021ICRA.pdf
We-filter: adaptive acceptance criteria for filter-based shared autonomy,"Bowman, Michael; Zhang, Xiaoli;",2023,ICRA,improving input quality,Gesture/Hand Tracking,Filtering,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10161228
Mitigating Over-Assistance in Teleoperated Mobile Robots via Human-Centered Shared Autonomy: Leveraging Suboptimal Rationality Insights,"Li, Yinglin; Cui, Rongxin; Yan, Weisheng; Feng, Chong; Zhang, Shi;",2024,RA-L,improving input quality,Direct Control Interfaces,Probabilistic Graphical Model,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10778417
A compliant partitioned shared control strategy for an orbital robot,"Mishra, Hrishik; Balachandran, Ribin; De Stefano, Marco; Ott, Christian;",2021,RA-L,minimizing input,Haptic,Compliance Control,Space Robotics,https://ieeexplore.ieee.org/document/9488248
Feasibility Checking and Constraint Refinement for Shared Control in Assistive Robotics,"Bustamante, Samuel; Rodríguez, Ismael; Quere, Gabriel; Lehner, Peter; Iskandar, Maged; Leidner, Daniel; Dömel, Andreas; Albu-Schäffer, Alin; Vogel, Jörn; Stulp, Freek;",2024,RA-L,minimizing input,Direct Control Interfaces,Optimization; Templates,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10602743
An Integrated Position-velocity-force Method for Safety-enhanced Shared Control in Robot-assisted Surgical Cutting,"Xiao, Xilin; Li, Xiaojian; Shi, Yudong; Fang, Jin; Li, Lin; He, Pengfei; Mo, Hangjie;",2024,ICRA,improving input quality,Haptic,Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10610466
A shared control framework for robotic telemanipulation combining electromyography based motion estimation and compliance control,"Dwivedi, Anany; Shieff, Dasha; Turner, Amber; Gorjup, Gal; Kwon, Yongje; Liarokapis, Minas;",2021,ICRA,improving input quality,Physiological Signal,Intent/Goal Inference; Divisible,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9560803
A probabilistic approach for learning and adapting shared control skills with the human in the loop,"Quere, Gabriel; Stulp, Freek; Filliat, David; Silverio, Joao;",2024,ICRA,minimizing input,Direct Control Interfaces,Templates,Assistive Robotics,https://ieeexplore.ieee.org/document/10610956
Shared control of assistive robots through user-intent prediction and hyperdimensional recall of reactive behavior,"Menon, Alisha; Olascoaga, Laura I Galindez; Balanaga, Vamshi; Natarajan, Anirudh; Ruffing, Jennifer; Ardalan, Ryan; Rabaey, Jan M;",2023,ICRA,improving input quality,Physiological Signal,Probabilistic Graphical Model,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10161509
Reconciling conflicting intents: Bidirectional trust-based variable autonomy for mobile robots,"Li, Yinglin; Cui, Rongxin; Yan, Weisheng; Zhang, Shi; Yang, Chenguang;",2024,RA-L,minimizing time,Direct Control Interfaces,Input Blending; Filtering;,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10517369/media#media
Towards human-robot collaborative surgery: Trajectory and strategy learning in bimanual peg transfer,"Hu, Zhaoyang Jacopo; Wang, Ziwei; Huang, Yanpei; Sena, Aran; y Baena, Ferdinando Rodriguez; Burdet, Etienne;",2023,RA-L,minimizing time,Haptic,Traded Control,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10149474
Scaled autonomy: Enabling human operators to control robot fleets,"Swamy, Gokul; Reddy, Siddharth; Levine, Sergey; Dragan, Anca D;",2020,ICRA,maximizing output,Direct Control Interfaces,Probabilistic Modelling; Multi-Robot Control,Multi-Robot Systems,https://siddharth.io/files/scaled-autonomy.pdf
Guiding reinforcement learning with shared control templates,"Padalkar, Abhishek; Quere, Gabriel; Steinmetz, Franz; Raffin, Antonin; Nieuwenhuisen, Matthias; Silvério, João; Stulp, Freek;",2023,ICRA,minimizing input,Physiological Signal,Templates; Reinforcement Learning,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/10161058
A surgeon-robot shared control for ergonomic pedicle screw fixation,"Lauretti, Clemente; Cordella, Francesca; Tamantini, Christian; Gentile, Cosimo; di Luzio, Francesco Scotto; Zollo, Loredana;",2020,RA-L,improving input quality,Kinesthetic Control,Virtual Fixtures,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/8990025
Emg-based intention detection using deep learning for shared control in upper-limb assistive exoskeletons,"Sedighi, Paniz; Li, Xingyu; Tavakoli, Mahdi;",2023,RA-L,improving input quality,Physiological Signal,Input Blending; Intent/Goal Inference,Assistive Robotics,https://ieeexplore.ieee.org/document/10310091
"Foot control of a surgical laparoscopic gripper via 5dof haptic robotic platform: Design, dynamics and haptic shared control","Sanchez, Jacob Hernandez; Amanhoud, Walid; Billard, Aude; Bouri, Mohamed;",2021,ICRA,improving input quality,Haptic,Compliance Control,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9561887
Integrating Open-World Shared Control in Immersive Avatars,"Naughton, Patrick; Nam, James Seungbum; Stratton, Andrew; Hauser, Kris;",2024,ICRA,improving input quality,Gesture/Hand Tracking; VR/AR,Intent/Goal Inference; Input Blending;,Space Robotics,https://ieeexplore.ieee.org/abstract/document/10611618
Shared control strategy for needle insertion into deformable tissue using inverse finite element simulation,"Baksic, Paul; Courtecuisse, Hadrien; Bayle, Bernard;",2021,ICRA,improving input quality,Haptic,Input Blending; Optimization,Medical Robotics,https://ieeexplore.ieee.org/document/9561013
Hierarchical Deep Learning for Intention Estimation of Teleoperation Manipulation in Assembly Tasks,"Cai, Mingyu; Patel, Karankumar; Iba, Soshi; Li, Songpo;",2024,ICRA,improving input quality,VR/AR,Intent/Goal Inference,Industrial Robotics,https://arxiv.org/abs/2403.19770
Controlling assistive robots with learned latent actions,"Losey, Dylan P; Srinivasan, Krishnan; Mandlekar, Ajay; Garg, Animesh; Sadigh, Dorsa;",2020,ICRA,minimizing input,Direct Control Interfaces,Generative Modelling,Assistive Robotics,https://arxiv.org/abs/1909.09674
Proactive Robot Control for Collaborative Manipulation Using Human Intent,"Rysbek, Zhanibek; Li, Siyu; Shervedani, Afagh Mehri; Žefran, Miloš;",2024,ICRA,improving input quality,Kinesthetic Control,Compliance Control,General Manipulation,https://arxiv.org/pdf/2311.02809
Blending primitive policies in shared control for assisted teleoperation,"Maeda, Guilherme;",2022,ICRA,improving input quality,Direct Control Interfaces,Input Blending; Imitation Learning,Navigation Robotics,https://arxiv.org/abs/2204.07026
Learning human objectives from sequences of physical corrections,"Li, Mengxi; Canberk, Alper; Losey, Dylan P; Sadigh, Dorsa;",2021,ICRA,minimizing input,Kinesthetic Control,Supervisory; Reinforcement Learning,General Manipulation; Navigation Robotics,https://arxiv.org/pdf/2104.00078 
Unknown Object Grasping for Assistive Robotics,"Elle Miller, Maximilian Durner, Matthias Humt, Gabriel Quere, Wout Boerdijk, Ashok M. Sundaram, Freek Stulp, Jorn Vogel",2024,ICRA,minimizing time,Direct Control Interfaces,Supervisory; Templates; Optimization,Assistive Robotics,https://arxiv.org/pdf/2404.15001
Adaptive Symmetry Reference Trajectory Generation in Shared Autonomy for Active Knee Orthosis,"Rongkai Liu, Tingting Ma, Ningguang Yao, Hao Li, Xinyan Zhao, Yu Wang",2023,RA-L,improving input quality,Physiological Signal,Input Blending,Medical Robotics,NA
Customized handling of unintended interface operation in assistive robots,"Gopinath, Deepak; Javaremi, Mahdieh Nejati; Argall, Brenna;",2021,ICRA,improving input quality,Physiological Signal,Probabilistic Graphical Model,Assistive Robotics,https://arxiv.org/abs/2007.02092
Communicating inferred goals with passive augmented reality and active haptic feedback,"Mullen, James F; Mosier, Josh; Chakrabarti, Sounak; Chen, Anqi; White, Tyler; Losey, Dylan P;",2021,RA-L,improving input quality,Direct Control Interfaces,Intent/Goal Inference,Assistive Robotics,https://arxiv.org/abs/2109.01747
Cooperative assist-as-needed control for robotic rehabilitation: A two-player game approach,"Pezeshki, Leilaalsadat; Sadeghian, Hamid; Keshmiri, Mehdi; Chen, Xiao; Haddadin, Sami;",2023,RA-L,improving input quality,Kinesthetic Control,Optimization,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/10081000
Learning from demonstration for real-time user goal prediction and shared assistive control,"Qiao, Calvin Z; Sakr, Maram; Muelling, Katharina; Admoni, Henny;",2021,ICRA,improving input quality,Direct Control Interfaces,Imitation Learning; Classical ML,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9560758
Structured action prediction for teleoperation in open worlds,"Naughton, Patrick; Hauser, Kris;",2022,RA-L,minimizing input,VR/AR,Planning,General Manipulation,https://par.nsf.gov/servlets/purl/10345591
Exact-likelihood user intention estimation for scene-compliant shared-control navigation,"Katuwandeniya, Kavindie; Kiss, Stefan H; Shi, Lei; Miro, Jaime Valls;",2022,ICRA,improving input quality,Simulation/Dataset,Generative Modelling,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9811913
Adaptive compliant skill learning for contact-rich manipulation with human in the loop,"Si, Weiyong; Guan, Yuan; Wang, Ning;",2022,RA-L,minimizing input,Haptic,Imitation Learning; Input Blending,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9735337
Online estimation of articulated objects with factor graphs using vision and proprioceptive sensing,"Buchanan, Russell; Röfer, Adrian; Moura, João; Valada, Abhinav; Vijayakumar, Sethu;",2024,ICRA,minimizing time,GUI,Probabilistic Graphical Model; Supervisory; Templates,General Manipulation,https://arxiv.org/pdf/2309.16343
Assimilation control of a robotic exoskeleton for physical human-robot interaction,"Li, Guoxin; Li, Zhijun; Kan, Zhen;",2022,RA-L,improving input quality,Kinesthetic Control,Input Blending,Assistive Robotics,https://ieeexplore.ieee.org/document/9689964
Perception-aware human-assisted navigation of mobile robots on persistent trajectories,"Cognetti, Marco; Aggravi, Marco; Pacchierotti, Claudio; Salaris, Paolo; Giordano, Paolo Robuffo;",2020,RA-L,minimizing input,Haptic,Optimization; Input Mapping,Navigation Robotics,http://rainbow-doc.irisa.fr/pdf/2020_cognetti_ral.pdf
Enhanced Human-Robot Collaboration with Intent Prediction using Deep Inverse Reinforcement Learning,"Mitra, Mukund; Kumar, Gyanig; Chakrabarti, Partha Pratim; Biswas, Pradipta;",2024,ICRA,improving input quality,Gesture/Hand Tracking,Reinforcement Learning,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10610595
Using a collaborative robotic arm as human-machine interface: System setup and application to pose control tasks,"Braun, Christian A; Haide, Ludwig; Fischer, Lars; Kille, Sean; Varga, Balint; Rothfuss, Simon; Hohmann, Sören;",2023,ICRA,improving input quality,Kinesthetic Control,Intent/Goal Inference,Space Robotics,https://ieeexplore.ieee.org/abstract/document/10161348
CAHSOR: Competence-Aware High-Speed Off-Road Ground Navigation in $\mathbb {SE}(3) $,"Pokhrel, Anuj; Nazeri, Mohammad; Datar, Aniket; Xiao, Xuesu;",2024,RA-L,improving input quality,Direct Control Interfaces,Optimization; Intent/Goal Inference,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10670294
Autonomous robotic laparoscopic surgery for intestinal anastomosis,"Saeidi, Hamed; Opfermann, Justin D; Kam, Michael; Wei, Shuwen; Léonard, Simon; Hsieh, Michael H; Kang, Jin U; Krieger, Axel;",2022,Science Robotics,minimizing time,GUI,Supervisory; Optimization,Medical Robotics,https://www.science.org/doi/full/10.1126/scirobotics.abj2908
Follow the force: Haptic communication enhances coordination in physical human-robot interaction when humans are followers,"Liu, Yiming; Leib, Raz; Franklin, David W;",2023,RA-L,minimizing input,Haptic,Divisible,General Manipulation,https://www.hs.mh.tum.de/fileadmin/w00bbr/nd/pdf/Liu_RAL_2023.pdf
Multi-operator control of connectivity-preserving robot swarms using supervisory control theory,"Miyauchi, Genki; Lopes, Yuri K; Groß, Roderich;",2022,ICRA,maximizing output,Simulation/Dataset,Supervisory; Multi-Robot Control,Multi-Robot Systems,https://ieeexplore.ieee.org/abstract/document/9812242
A framework for learning from demonstration with minimal human effort,"Rigter, Marc; Lacerda, Bruno; Hawes, Nick;",2020,RA-L,minimizing time,Direct Control Interfaces,Reinforcement Learning; Traded Control; Input Blending,Navigation Robotics,https://ori.ox.ac.uk/media/5599/2020icra_rigter.pdf
Autonomous and Teleoperation Control of a Drawing Robot Avatar,"Chen, Lingyun; Naceri, Abdeldjallil; Swikir, Abdalla; Hirche, Sandra; Haddadin, Sami;",2024,ICRA,minimizing input,GUI,Divisible,General Manipulation,https://arxiv.org/abs/2407.20156
Learning to assist drone landings,"Backman, Kal; Kulić, Dana; Chung, Hoam;",2021,RA-L,improving input quality,Direct Control Interfaces,Reinforcement Learning; Input Blending; Generative Modelling,UAV,https://arxiv.org/abs/2011.13146
Initial task allocation in multi-human multi-robot teams: An attention-enhanced hierarchical reinforcement learning approach,"Wang, Ruiqi; Zhao, Dezhong; Gupte, Arjun; Min, Byung-Cheol;",2024,RA-L,minimizing time,Simulation/Dataset,Reinforcement Learning; ,Multi-Robot Systems,https://ieeexplore.ieee.org/document/10436714
A Bayesian optimization framework for the automatic tuning of MPC-based shared controllers,"van der Horst, Anne; Meere, Bas; Krishnamoorthy, Dinesh; Bakker, Saray; van de Vrande, Bram; Stoutjesdijk, Henry; Alonso, Marco; Torta, Elena;",2024,ICRA,improving input quality,Direct Control Interfaces,Traded Control; Deep Learning; Probabilistic Modelling; Planning,Medical Robotics,https://arxiv.org/pdf/2311.01133
A novel limbs-free variable structure wheelchair based on face-computer interface (FCI) with shared control,"Zhu, Bo; Zhang, DaoHui; Chu, YaQi; Zhao, XinGang;",2022,ICRA,minimizing input,Physiological Signal,Intent/Goal Inference,Assistive Robotics,https://ieeexplore.ieee.org/abstract/document/9811571
Vision-based dynamic virtual fixtures for tools collision avoidance in robotic surgery,"Moccia, Rocco; Iacono, Cristina; Siciliano, Bruno; Ficuciello, Fanny;",2020,RA-L,improving input quality,Haptic,Virtual Fixtures,Medical Robotics,https://ieeexplore.ieee.org/document/8972577
Helping robots learn: a human-robot master-apprentice model using demonstrations via virtual reality teleoperation,"DelPreto, Joseph; Lipton, Jeffrey I; Sanneman, Lindsay; Fay, Aidan J; Fourie, Christopher; Choi, Changhyun; Rus, Daniela;",2020,ICRA,minimizing time,VR/AR,Traded Control,General Manipulation,https://people.csail.mit.edu/delpreto/icra2020/delpreto-lipton_helping-robots-learn_icra2020.pdf
A target-guided telemanipulation architecture for assisted grasping,"Laghi, Marco; Raiano, Luigi; Amadio, Fabio; Rollo, Federico; Zunino, Andrea; Ajoudani, Arash;",2022,RA-L,improving input quality,VR/AR,Traded Control,General Manipulation,https://ieeexplore.ieee.org/abstract/document/9815139
A confidence-based supervised-autonomous control strategy for robotic vaginal cuff closure,"Kam, Michael; Saeidi, Hamed; Hsieh, Michael H; Kang, Jin U; Krieger, Axel;",2021,ICRA,minimizing time,GUI,Traded Control,Medical Robotics,https://ieeexplore.ieee.org/abstract/document/9561685
ARROCH: Augmented reality for robots collaborating with a human,"Chandan, Kishan; Kudalkar, Vidisha; Li, Xiang; Zhang, Shiqi;",2021,ICRA,maximizing output,VR/AR; Direct Control Interfaces,Multi-Robot Control; Planning,Navigation Robotics,https://par.nsf.gov/servlets/purl/10347131
Inferring the geometric nullspace of robot skills from human demonstrations,"Cai, Caixia; Liang, Ying Siu; Somani, Nikhil; Yan, Wu;",2020,ICRA,improving input quality,Kinesthetic Control,Optimization,General Manipulation,https://yan-wu.com/wp-content/uploads/2020/05/cai2020inferring.pdf
A framework for customizable multi-user teleoperated control,"Munawar, Adnan; Wu, Jie Ying; Taylor, Russell H; Kazanzides, Peter; Fischer, Gregory S;",2021,RA-L,minimizing input,Haptic,Divisible,Medical Robotics,https://ieeexplore.ieee.org/document/9364683
Mixed reality teleoperation assistance for direct control of humanoids,"Penco, Luigi; Momose, Kazuhiko; McCrory, Stephen; Anderson, Dexton; Kitchel, Nicholas; Calvert, Duncan; Griffin, Robert J;",2024,RA-L,improving input quality,VR/AR,Templates,Navigation Robotics,https://ieeexplore.ieee.org/abstract/document/10380694
A control approach for human-robot ergonomic payload lifting,"Rapetti, Lorenzo; Sartore, Carlotta; Elobaid, Mohamed; Tirupachuri, Yeshasvi; Draicchio, Francesco; Kawakami, Tomohiro; Yoshiike, Takahide; Pucci, Daniele;",2023,ICRA,improving input quality,Kinesthetic Control; Gesture/Hand Tracking,Optimization,HRC,https://arxiv.org/pdf/2305.08499
Task-based role adaptation for human-robot cooperative object handling,"Ansari, Ramin Jaberzadeh; Karayiannidis, Yiannis;",2021,RA-L,improving input quality,Kinesthetic Control,Compliance Control; Optimization,HRC,https://ieeexplore.ieee.org/abstract/document/9372776
Enhanced teleoperation using autocomplete,"Zein, Mohammad Kassem; Sidaoui, Abbas; Asmar, Daniel; Elhajj, Imad H;",2020,ICRA,minimizing time,Direct Control Interfaces,Classical ML,UAV,
Reconfigurable constraint-based reactive framework for assistive robotics with adaptable levels of autonomy,"Iregui, Santiago; De Schutter, Joris; Aertbeliën, Erwin;",2021,RA-L,improving input quality,Direct Control Interfaces,Imitation Learning; Probabilistic Graphical Model; Virtual Fixtures,Assistive Robotics,
Adaptive impedance controller for human-robot arbitration based on cooperative differential game theory,"Franceschi, Paolo; Pedrocchi, Nicola; Beschi, Manuel;",2022,ICRA,improving input quality,Kinesthetic Control,Templates; Compliance Control,HRC,
Generalized affordance templates for mobile manipulation,"Hart, Stephen; Quispe, Ana Huamán; Lanighan, Michael W; Gee, Seth;",2022,ICRA,minimizing input,GUI,Templates; Planning,Space Robotics,https://ieeexplore.ieee.org/abstract/document/9812082
Excitation trajectory optimization for dynamic parameter identification using virtual constraints in hands-on robotic system,"Tian, Huanyu; Huber, Martin; Mower, Christopher E; Han, Zhe; Li, Changsheng; Duan, Xingguang; Bergeles, Christos;",2024,ICRA,minimizing input,Kinesthetic Control,Compliance Control; Optimization,Medical Robotics,https://arxiv.org/abs/2401.16566
Learning state conditioned linear mappings for low-dimensional control of robotic manipulators,"Przystupa, Michael; Johnstonbaugh, Kerrick; Zhang, Zichen; Petrich, Laura; Dehghan, Masood; Haghverd, Faezeh; Jagersand, Martin;",2023,ICRA,minimizing input,Direct Control Interfaces,Input Blending; Supervisory; Classical ML,General Manipulation,https://ieeexplore.ieee.org/abstract/document/10160585
Wearable haptics for a marionette-inspired teleoperation of highly redundant robotic systems,"Torielli, Davide; Franco, Leonardo; Pozzi, Maria; Muratore, Luca; Malvezzi, Monica; Tsagarakis, Nikos; Prattichizzo, Domenico;",2024,ICRA,improving input quality,Gesture/Hand Tracking,Compliance Control; Virtual Fixtures; Input Mapping,Space Robotics,https://ieeexplore.ieee.org/abstract/document/10610788
